,name,code,credit,quota,campus,classroom
889,資訊科技與生活,06UG012,2,54,本部,誠104
890,宇宙中的生命與太空環境,06UG021,2,127,公館,Ｅ302
891,日語（一）,0HUG501,2,60,本部,誠109
892,哲學入門,02UG001,2,95,本部,誠301
893,大學入門,0SUG531,2,55,本部,正202
894,音樂與戲劇,01UG033,2,60,本部,音308
895,邏輯思考與應用,05UG001,2,155,本部,誠101
896,運算思維與程式設計,05UG016,2,55,本部,教401
897,心理學,0AUG402,2,50,本部,樸306
898,２０世紀動盪時局下的知識份子,04UG023,2,50,本部,正301
899,文學與電影,01UG021,3,70,本部,誠208
900,日語（二）,0HUG652,2,50,公館,理圖003
901,臺灣歷史與文化,04UG015,2,55,本部,正301
902,現代民主政治,03UG002,2,50,公館,理圖002
903,越南語（一）,0HUG649,2,50,本部,誠109
904,大學入門,0SUG532,2,60,公館,Ｂ102
905,統計學,05UG020,2,110,本部,教201演講廳
906,大學入門,0SUG536,2,60,本部,綜202演講廳
1015,體育教材教法（教）,PEUE101,2,60,本部,體001
1024,體育教學實習（二）（教）,PEUE210,2,60,本部,正102
1084,公民與社會（公民）教材教法（教）,CEUE002,2,60,本部,童技室
1103,公民與社會（公民）教學實習（教）,CEUE011,2,60,本部,童技室
1455,機械群教學實習（二）（教）,MTUE310,2,36,本部,機電302會議室
1459,機械群教材教法（教）,MTUE101,2,36,本部,機電302會議室
1506,英語教材教法（教）,ENUE001,2,60,本部,正305
1543,英語教學實習（一）（教）,ENUE110,2,60,本部,正303
1565,臺語教材教法（教）,TCUE001,2,60,本部,誠304
1623,設計群教材教法（教）,GCUE101,2,60,本部,視聽教室
1629,設計群教學實習（一）（教）,GCUE310,2,60,本部,視聽教室
1688,國文教學實習（一）（教）,CHUE110,2,40,本部,樸306
1696,學習評量（教）,CHUE074,2,60,本部,國文學系微型教室
1705,教育議題專題（教）,CHUE311,2,60,本部,樸303
1710,國文教學實習（一）（教）,CHUE110,2,40,本部,樸305
1769,化學教材教法（一）（教）,CMUE101,1,60,公館,Ｃ105
1883,地球科學教學實習（一）（教）,ESUE110,2,60,公館,科教大樓101
1906,地球科學教材教法（教）,ESUE001,2,60,公館,科教大樓101
2024,生物教學實習（一）（教）,BIUE110,2,60,公館,Ｓ306
2045,生物教材教法（教）,BIUE001,2,60,公館,Ｓ306
2149,體育教材教法（教）,PEUE101,2,60,公館,Ｓ501
2152,體育教學實習（二）（教）,PEUE210,2,60,公館,Ｓ101
2187,健康教育（健康與護理）教學實習（教）,HEUE110,2,60,本部,誠602
2428,音樂教學實習（一）（教）,MUUE110,2,60,本部,音210
2634,資賦優異學生教材教法（二）（資優）,00UEG04,2,41,本部,特113
2635,資源教室方案與經營（資優）,00UEG16,2,55,本部,特115
2636,教育議題專題（教）,00UE325,2,60,本部,誠107
2637,課程發展與設計（IB）,IBUE001,3,60,本部,樸301
2638,資優教育概論（教）,00UE073,2,12,本部,特115
2639,健康與體育領域探究與實作（教）,00UE110,2,60,本部,正103
2640,教育政策與法令（教）,00UE099,2,60,公館,Ｓ407
2641,職業教育與訓練暨生涯規劃（教）,00UE102,1,54,本部,誠402
2642,教育心理學（教）,00UE002,2,60,本部,教511
2643,教學媒體與運用（教）,00UE076,2,60,公館,理圖801
2644,資賦優異教學實務（資優）,00UEG25,2,24,本部,特116
2645,雙語教育概論（教）,00UEB03,2,60,本部,正106
2646,教育哲學（教）,00UE003,2,60,本部,樸301
2647,學習評量（教）,00UE074,2,60,本部,誠304
2648,雙語教材教法（教）,00UEB01,2,60,本部,誠304
2649,教學原理（教）,00UE005,2,60,本部,樸401
2650,教師專業發展（教）,00UE080,2,60,本部,正202
2651,教育概論（教）,00UE001,2,60,本部,教9樓綜合教室
2652,輔導原理與實務（教）,00UE008,2,60,本部,誠208
2653,教育議題專題（教）,00UE311,2,60,本部,教310
2654,課程發展與設計（教）,00UE075,2,48,本部,誠106
2655,教學原理（教）,00UE005,2,60,本部,樸301
2656,學習評量（教）,00UE074,2,60,本部,正103
2657,雙語教材教法（教）,00UEB01,2,60,本部,樸301
2659,教育哲學（教）,00UE003,2,60,本部,誠305
2660,資優學生親職教育（資優）,00UEG11,2,30,本部,特112
2661,教學媒體與運用（教）,00UE076,2,60,本部,教401
2662,特殊教育導論（教）,00UE059,3,50,本部,樸301
2663,教育政策與法令（教）,00UE099,2,60,本部,誠205
2664,教育史（教）,00UE036,2,60,本部,教310
2665,現代教育思潮（教）,00UE037,2,60,本部,樸401
2666,教學媒體與運用（教）,00UE076,2,60,本部,教401
2667,實地學習（三）（教）,00UE086,0,60,,
2668,教育哲學（教）,00UE003,2,60,本部,誠305
2669,教育社會學（教）,00UE004,2,60,本部,誠107
2670,教學原理（教）,00UE005,2,48,本部,正101
2671,課程發展與設計（教）,00UE075,2,54,本部,誠104
2672,輔導原理與實務（教）,00UE008,2,60,本部,教育學院第1會議室
2673,教育概論（教）,00UE001,2,60,本部,教802
2674,教師素養（教）,00UE079,2,48,本部,誠106
2675,創造力教育（資優）,00UEG07,2,20,本部,特115
2676,特殊教育導論（資優）,00UEG19,3,15,本部,樸301
2677,教育政策與法令（教）,00UE099,2,60,本部,樸401
2678,教育概論（教）,00UE001,2,60,本部,教9樓綜合教室
2679,實地學習（一）（教）,00UE084,0,60,,
2680,特殊教育行政與法規（資優）,00UEG17,2,15,本部,特114演講廳
2681,教學原理（教）,00UE005,2,54,本部,誠104
2682,實地學習（B）（教）,00UE088,0,60,,
2683,學習評量（教）,00UE074,2,55,本部,誠107
2684,教育議題專題（教）,00UE321,2,60,本部,誠107
2685,雙語教學應用與實作（教）,00UEB02,1,60,本部,樸301
2686,教育哲學（教）,00UE003,2,60,本部,樸301
2687,教學媒體與運用（教）,00UE076,2,60,本部,教401
2688,青少年心理學（教）,00UE018,2,60,本部,教513
2689,教育心理學（教）,00UE002,2,60,本部,誠205
2690,班級經營（教）,00UE006,2,60,本部,誠108
2691,數學適性教學（教）,00UE093,2,60,公館,數學館M212
2692,輔導原理與實務（教）,00UE008,2,60,公館,Ｓ601
2693,課程發展與設計（教）,00UE075,2,60,本部,樸301
2695,教育社會學（教）,00UE004,2,60,本部,正204
2696,議題融入資優教育教學設計（資優）,00UEG24,2,35,本部,特113
2697,雙語教學應用與實作（教）,00UEB02,1,60,本部,樸301
2698,教育哲學（教）,00UE003,2,60,本部,教312
2699,教學媒體與運用（教）,00UE076,2,60,本部,教402
2700,特殊教育導論（教）,00UE059,3,50,本部,特103
2701,職業教育與訓練暨生涯規劃（教）,00UE102,1,60,本部,正205
2702,教育心理學（教）,00UE002,2,60,本部,樸301
2703,青少年心理學（教）,00UE018,2,80,本部,教育學院第1會議室
2704,班級經營（教）,00UE006,2,60,本部,誠108
2705,特殊教育導論（資優）,00UEG19,3,10,本部,特112
2706,教育行政（教）,00UE011,2,60,本部,誠107
2707,教育行動研究（教）,00UE101,2,60,本部,樸301
2708,雙語數學教材教法（教）,00UEB05,2,60,公館,數學館M210
2709,特殊教育教學實習（一）（資優）,00UEG01,2,46,本部,特103
2710,創造力教育（資優）,00UEG07,2,35,本部,特115
2711,特殊教育導論（資優）,00UEG19,3,15,本部,誠204
2712,班級經營（教）,00UE006,2,60,公館,Ｓ601
2713,職業教育與訓練暨生涯規劃（教）,00UE102,1,60,公館,Ｓ401
2714,特殊教育導論（教）,00UE059,3,25,本部,特112
2715,教育心理學（教）,00UE002,2,60,本部,誠204
2716,青少年心理學（教）,00UE018,2,60,本部,誠107
2717,資優教育專題研究（資優）,00UEG10,2,35,本部,特112
2718,現代教育思潮（教）,00UE037,2,60,本部,正202
2720,教育社會學（教）,00UE004,2,60,本部,正204
2721,課程發展與設計（教）,00UE075,2,54,本部,誠104
2722,教育概論（教）,00UE001,2,60,本部,教312
2723,輔導原理與實務（教）,00UE008,2,60,本部,樸301
2724,教育政策與法令（教）,00UE099,2,60,本部,誠107
2725,特殊教育教學實習（一）（資優）,00UEG01,2,46,本部,特116
2726,綜合活動領域探究與實作（教）,00UE109,2,60,本部,誠206
2727,發展心理學（教）,00UE017,2,60,本部,教202會議廳
2728,輔導原理與實務（教）,00UE008,2,60,本部,誠208
2729,課程發展與設計（教）,00UE075,2,60,本部,正106
2730,教學原理（教）,00UE005,2,60,本部,樸301
2731,藝術資優教育（資優）,00UEG22,2,30,本部,特115
2732,雙語教材教法（教）,00UEB01,2,60,本部,樸301
2733,學習評量（教）,00UE074,2,60,本部,誠107
2734,資優教育概論（資優）,00UEG18,2,48,本部,特115
2735,教育哲學（教）,00UE003,2,60,本部,樸401
2736,教育心理學（教）,00UE002,2,60,本部,誠205
2737,特殊教育導論（教）,00UE059,3,60,本部,誠207
2738,職業教育與訓練暨生涯規劃（教）,00UE102,1,60,公館,理圖002
2739,班級經營（教）,00UE006,2,60,本部,樸401
2740,實地學習（A）（教）,00UE087,0,60,,
2741,班級經營（教）,00UE006,2,48,本部,誠106
2742,教育心理學（教）,00UE002,2,60,本部,教511
2743,職業教育與訓練暨生涯規劃（教）,00UE102,1,60,公館,理圖002
2744,特殊教育導論（教）,00UE059,3,50,本部,誠204
2745,雙語教育概論（教）,00UEB03,2,60,本部,樸301
2746,教學媒體與運用（教）,00UE076,2,60,公館,理圖807
2747,科學資優教育（資優）,00UEG20,2,30,公館,教室自排
2748,教育議題專題（教）,00UE304,2,60,本部,樸401
2749,教育哲學（教）,00UE003,2,60,本部,教802
2750,實地學習（二）（教）,00UE085,0,60,,
2751,教育社會學（教）,00UE004,2,60,本部,誠401
2752,領導才能教育（資優）,00UEG08,2,35,本部,特113
2753,親職教育與親師合作（教）,00UE097,2,60,本部,樸401
2754,課程發展與設計（教）,00UE075,2,60,公館,Ｓ407
2755,輔導原理與實務（教）,00UE008,2,60,本部,樸301
2756,實地學習（C）（教）,00UE089,0,60,,
2757,資源教室方案與經營（資優）,00UEG16,2,15,本部,特114演講廳
2758,教育議題專題（教）,00UE325,2,50,公館,Ｓ202
2759,特殊教育導論（資優）,00UEG19,3,15,本部,特103
2944,歷史科教學實習（二）（教）,HIUE210,2,60,本部,樸201
2946,歷史教材教法（教）,HIUE001,2,60,本部,正401
2991,動力機械群科目教材教法（教）,IEUE210,2,60,本部,汽車場二樓
3023,地理教學實習（一）（教）,GEUE110,2,43,本部,樸201
3156,生活科技科教學實習（一）（教）,ITUE210,2,35,本部,科技系TD301
